server name,date, body bytes sent , status , upstream response length , tcpinfo rtt , tcpinfo rttvar , tcpinfo snd cwnd ,sent http content type,http user agent
static.tvc.ru,19.12.2023, 745   , 200   , 745   , 291   , 40   , 10   ,image/svg+xml,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 4 430   , 200   , 24 496   , 1 190   , 1 842   , 10   ,text/css,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 1 584   , 200   , 7 293   , 806   , 1 079   , 10   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 4 834   , 200   , 14 628   , 740   , 940   , 10   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 1 748   , 200   , 4 773   , 662   , 662   , 10   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 1 274   , 200   , 3 159   , 629   , 563   , 10   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 2 703   , 200   , 11 818   , 602   , 476   , 10   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 5 025   , 200   , 24 258   , 733   , 620   , 10   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 1 173   , 200   , 3 845   , 694   , 543   , 10   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 581   , 200   , 1 776   , 275   , 46   , 10   ,text/css,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 43 133   , 200   , 156 087   , 271   , 32   , 16   ,text/css,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 2 344   , 200   , 12 257   , 279   , 43   , 10   ,text/css,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 317   , 29   , 10   ,application/json,Mozilla/5.0 SMART-TV. L
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 466   , 203   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 573 126   , 200   , 0 : 779319 , 397   , 87   , 33   ,text/xml. charset=utf-8,"""}     "
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 4 785   , 8 851   , 10   ,application/json,Mozilla/5.0 iPhone. CPU
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 480   , 261   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 372   , 183   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 10 068   , 200   , 0 : 47645 , 1 253   , 904   , 10   ,text/html. charset=utf-8,Mozilla/5.0 compatible.
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 356   , 85   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 651   , 493   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 7 062   , 200   , 26 813   , 548   , 291   , 10   ,text/html. charset=utf-8,Mozilla/5.0 Windows NT 
nastroenie.tv,19.12.2023, 12 323   , 200   , 0 : 76429 , 402   , 201   , 10   ,text/html. charset=utf-8,Mozilla/5.0 compatible.
static.tvc.ru,19.12.2023, 1 780   , 200   , 6 910   , 330   , 111   , 10   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 1 207   , 200   , 5 110   , 804   , 680   , 10   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 3 333   , 200   , 14 910   , 305   , 105   , 10   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 2 484   , 200   , 11 450   , 686   , 587   , 10   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 2 831   , 200   , 10 806   , 392   , 87   , 17   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 728   , 200   , 1 392   , 354   , 27   , 18   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023," body_b  } ytes_sent: ""10297 ", 200   , 10 297   , 7 149   , 12 675   , 10   ,image/png,Mozilla/5.0 Linux. arm_
static.tvc.ru,19.12.2023, 436   , 200   , 912   , 327   , 80   , 10   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 432   , 200   , 945   , 423   , 84   , 17   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 493   , 200   , 1 202   , 341   , 29   , 18   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 3 747   , 200   , 13 058   , 569   , 420   , 10   ,application/x-javascript,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 4 777   , 200   , 4 777   , 518   , 252   , 10   ,image/png,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 8 581   , 200   , 8 581   , 4 835   , 8 860   , 10   ,image/gif,Mozilla/5.0 Windows NT 
static.tvc.ru,19.12.2023, 581   , 200   , 1 776   , 335   , 5   , 10   ,text/css,Mozilla/5.0 Linux. arm.
static.tvc.ru,19.12.2023, 1 311   , 200   , 1 311   , 5 586   , 7 435   , 10   ,image/png,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 845   , 1 150   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 5 387   , 10 142   , 10   ,application/json,Mozilla/5.0 X11. Linux 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 376   , 189   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 1 703   , 2 808   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 624   , 709   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 323   , 32   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 760   , 980   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 305   , 107   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 398   , 141   , 10   ,application/json,Mozilla/5.0 Linux. Andr
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 5 358   , 10 089   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 1 857   , 3 188   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 385   , 202   , 10   ,application/json,Mozilla/5.0 Windows NT 
tsstaff.tvc.ru,19.12.2023, 61 583   , 200   , 61 620   , 532   , 479   , 21   ,text/html,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 358   , 188   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 264   , 123   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 565   , 712   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 647   , 483   , 10   ,application/json,Mozilla/5.0 Linux. Andr
www.tvc.ru,19.12.2023, 11 468   , 200   , 48 780   , 527   , 293   , 10   ,text/html. charset=utf-8,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 202   , 30   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 439   , 384   , 10   ,application/json,Mozilla/5.0 Android 13.
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 308   , 33   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 2 253   , 3 917   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 294   , 68   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 221   , 29   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 307   , 51   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 274   , 120   , 10   ,application/json,Mozilla/5.0 Windows NT 
www.tvc.ru,19.12.2023, 453   , 200   , 871   , 259   , 134   , 10   ,application/json,Mozilla/5.0 iPhone. CPU
static.tvc.ru,19.12.2023, 1 141   , 200   , 4 028   , 4 776   , 8 489   , 10   ,text/css,Mozilla/5.0 Windows NT 
